Approved symbol	Mouse genome database ID
NANOGP11	
NANOS1	MGI:2669254
NANOS2	MGI:2676627
NANOS3	MGI:2675387
NANP	MGI:1914561
NANS	MGI:2149820
NANTA3	
NAP1L1	MGI:1855693
NAP1L1P1	
NAP1L1P2	
NAP1L1P3	
NAP1L2	MGI:106654
NAP1L3	MGI:1859565
NAP1L4	MGI:1316687
NAP1L4P1	
NAP1L4P2	
NAP1L4P3	
NAP1L5	MGI:1923555
NAP1L5P1	
NAP1L6P	
NAPA	MGI:104563
NAPA-AS1	
NAPB	MGI:104562
NAPEPLD	MGI:2140885
NAPG	MGI:104561
NAPGP1	
NAPGP2	
NAPRT	MGI:2442664
NAPSA	MGI:109365
NAPSB	
NARF	MGI:1914858
NARF-AS1	
NARF-AS2	
NARF-IT1	
NARS1	MGI:1917473
NARS1P1	
NARS1P2	
NARS2	MGI:2142075
NASP	MGI:1355328
NASPP1	
NAT1	MGI:102537, MGI:109201, MGI:97279
NAT2	MGI:102537, MGI:109201, MGI:97279
NAT8	MGI:1915646
NAT8B	MGI:1915646
NAT8L	MGI:2447776
NAT9	MGI:1913426
NAT10	MGI:2138939
NAT14	MGI:3039561
NAT16	
NATD1	MGI:1344388
NATP	
NAV1	MGI:2183683
NAV2	MGI:2183691
NAV2-AS1	
NAV2-AS2	
NAV2-AS3	
NAV2-AS4	
NAV2-AS5	
NAV2-IT1	
NAV3	MGI:2183703
NAXD	MGI:1913353
NAXD-AS1	
NAXE	MGI:2180167
NBAS	MGI:1918419
NBAT1	
NBCCS	
NBDY	MGI:1917373
NBEA	MGI:1347075
NBEA-AS1	
NBEAL1	MGI:2444343
NBEAL2	MGI:2448554
NBEAP1	
NBEAP2	
NBEAP3	
NBEAP4	
NBEAP5	
NBEAP6	
NBIA1	
NBL1	MGI:104591
NBN	MGI:1351625
NBP1	
NBPF1	
NBPF2P	
NBPF3	
NBPF4	
NBPF5P	
NBPF6	
NBPF7P	
NBPF8	
NBPF9	
NBPF10	
NBPF11	
NBPF12	
NBPF13P	
NBPF14	
NBPF15	
NBPF16	
NBPF17P	
NBPF18P	
NBPF19	
NBPF20	
NBPF21P	
NBPF22P	
NBPF23P	
NBPF24	
NBPF25P	
NBPF26	
NBR1	MGI:108498
NBR2	
NCA	
NCAD	
NCAL1	
NCALD	MGI:1196326
NCAM1	MGI:97281
NCAM1-AS1	
NCAM2	MGI:97282
NCAN	MGI:104694
NCAPD2	MGI:1915548
NCAPD2P1	
NCAPD3	MGI:2142989
NCAPG	MGI:1930197
NCAPG2	MGI:1923294
NCAPGP1	
NCAPGP2	
NCAPH	MGI:2444777
NCAPH2	MGI:1289164
NCBP1	MGI:1891840
NCBP2	MGI:1915342
NCBP2-AS1	
NCBP2AS2	
NCBP2L	
NCBP3	MGI:1914124
NCCRP1	MGI:2685009
NCDN	MGI:1347351
NCEH1	MGI:2443191
NCF1	MGI:97283
NCF1B	
NCF1C	
NCF2	MGI:97284
NCF4	MGI:109186
NCF4-AS1	
NCK	
NCK1	MGI:109601
NCK1-DT	
NCK2	MGI:1306821
NCKAP1	MGI:1355333
NCKAP1L	MGI:1926063
NCKAP1P1	
NCKAP5	MGI:2686394
NCKAP5-AS1	
NCKAP5-AS2	
NCKAP5-IT1	
NCKAP5L	MGI:3609653
NCKIPSD	MGI:1931834
NCL	MGI:97286
NCLN	MGI:1926081
NCLP1	
NCLP2	
NCMAP	MGI:2444888
NCMAP-DT	
NCOA1	MGI:1276523
NCOA2	MGI:1276533
NCOA3	MGI:1276535
NCOA4	MGI:1350932
NCOA4P1	
NCOA4P2	
NCOA4P3	
NCOA4P4	
NCOA5	MGI:2385165
NCOA5LP	
NCOA6	MGI:1929915
NCOA7	MGI:2444847
NCOA7-AS1	
NCOR1	MGI:1349717
NCOR1P1	
NCOR1P2	
NCOR1P3	
NCOR1P4	
NCOR2	MGI:1337080
NCR1	MGI:1336212
NCR2	
NCR3	MGI:2149332
NCR3LG1	
NCRNA00055	
NCRNA00056	
NCRNA00090	
NCRNA00091	
NCRNA00098	
NCRNA00103	
NCRNA00104	
NCRNA00185	
NCRNA00220	
NCRNA00250	
NCRNA00270	
NCRNA00270B	
NCRNA00291	
NCRUPAR	
NCS1	MGI:109166
NCSTN	MGI:1891700
NCSTNP1	
NCX1	
NDC1	MGI:1920037
NDC80	MGI:1914302
NDE1	MGI:1914453
NDE1P1	
NDE1P2	
NDEL1	MGI:1932915
NDFIP1	MGI:1929601
NDFIP1P1	
NDFIP2	MGI:1923523
NDFIP2-AS1	
NDN	MGI:97290
NDNF	MGI:1915419
NDNF-AS1	
NDNL1	
NDOR1	MGI:1926047
NDP	MGI:102570
NDP-AS1	
NDRG1	MGI:1341799
NDRG2	MGI:1352498
NDRG3	MGI:1352499
NDRG4	MGI:2384590
NDST1	MGI:104719
NDST1-AS1	
NDST2	MGI:97040
NDST3	MGI:1932544
NDST4	MGI:1932545
NDUFA1	MGI:1929511
NDUFA2	MGI:1343103
NDUFA3	MGI:1913341
NDUFA3P1	
NDUFA3P2	
NDUFA3P3	
NDUFA3P4	
NDUFA3P5	
NDUFA3P6	
NDUFA4	MGI:107686
NDUFA4L2	MGI:3039567
NDUFA4P1	
NDUFA4P2	
NDUFA5	MGI:1915452
NDUFA5P1	
NDUFA5P2	
NDUFA5P3	
NDUFA5P4	
NDUFA5P5	
NDUFA5P6	
NDUFA5P7	
NDUFA5P8	
NDUFA5P9	
NDUFA5P10	
NDUFA5P11	
NDUFA5P12	
NDUFA6	MGI:1914380
NDUFA6-DT	
NDUFA7	MGI:1913666
NDUFA8	MGI:1915625
NDUFA8P1	
NDUFA9	MGI:1913358
NDUFA9P1	
NDUFA10	MGI:1914523
NDUFA11	MGI:1917125
NDUFA12	MGI:1913664
NDUFA12P1	
NDUFA13	MGI:1914434
NDUFAB1	MGI:1917566
NDUFAB1P1	
NDUFAF1	MGI:1916952
NDUFAF2	MGI:1922847
NDUFAF2P1	
NDUFAF2P2	
NDUFAF3	MGI:1913956
NDUFAF4	MGI:1915743
NDUFAF4P1	
NDUFAF4P2	
NDUFAF4P3	
NDUFAF4P4	
NDUFAF5	MGI:1916737
NDUFAF6	MGI:1924197
NDUFAF7	MGI:1920944
NDUFAF8	MGI:1913676
NDUFB1	
NDUFB1P1	
NDUFB1P2	
NDUFB2	MGI:1915448
NDUFB2-AS1	
NDUFB2P1	
NDUFB3	MGI:1913745
NDUFB3P1	
NDUFB3P2	
NDUFB3P3	
NDUFB3P4	
NDUFB3P5	
NDUFB4	MGI:1915444
NDUFB4P1	
NDUFB4P2	
NDUFB4P3	
NDUFB4P4	
NDUFB4P5	
NDUFB4P6	
NDUFB4P7	
NDUFB4P8	
NDUFB4P9	
NDUFB4P10	
NDUFB4P11	
NDUFB4P12	
NDUFB5	MGI:1913296
NDUFB5P1	
NDUFB5P2	
NDUFB6	MGI:2684983
NDUFB7	MGI:1914166
NDUFB8	MGI:1914514
NDUFB8P1	
NDUFB8P2	
NDUFB8P3	
NDUFB9	MGI:1913468
NDUFB9P1	
NDUFB9P2	
NDUFB9P3	
NDUFB10	MGI:1915592
NDUFB10P1	
NDUFB10P2	
NDUFB11	MGI:1349919
NDUFB11P1	
NDUFC1	MGI:1913627
NDUFC2	MGI:1344370
NDUFC2-KCTD14	
NDUFS1	MGI:2443241
NDUFS2	MGI:2385112
NDUFS2L	
NDUFS3	MGI:1915599
NDUFS4	MGI:1343135
NDUFS5	MGI:1890889
NDUFS5P1	
NDUFS5P2	
NDUFS5P3	
NDUFS5P4	
NDUFS5P5	
NDUFS5P6	
NDUFS5P7	
NDUFS6	MGI:107932
NDUFS6P1	
NDUFS7	MGI:1922656
NDUFS8	MGI:2385079
NDUFV1	MGI:107851
NDUFV1-DT	
NDUFV2	MGI:1920150
NDUFV2-AS1	
NDUFV2P1	
NDUFV3	MGI:1890894
NEAT1	MGI:1914211
NEB	MGI:97292
NEBL	MGI:1921353
NEBL-AS1	
NEC1	
NEC2	
NECAB1	MGI:1916602
NECAB2	MGI:2152211
NECAB3	MGI:1861721
NECAP1	MGI:1914852
NECAP1P1	
NECAP1P2	
NECAP2	MGI:1913397
NECTIN1	MGI:1926483
NECTIN1-AS1	
NECTIN1-DT	
NECTIN2	MGI:97822
NECTIN2P1	
NECTIN3	MGI:1930171
NECTIN3-AS1	
NECTIN4	MGI:1918990
NECTIN4-AS1	
NEDD1	MGI:97293
NEDD2	
NEDD3	
NEDD4	MGI:97297
NEDD4L	MGI:1933754
NEDD6	
NEDD7	
NEDD8	MGI:97301
NEDD8-MDP1	
NEDD8P1	
NEDD9	MGI:97302
NEDD10	
NEF4	
NEF5	
NEFH	MGI:97309
NEFHP1	
NEFHP2	
NEFL	MGI:97313
NEFLL1	
NEFLL2	
NEFLP1	
NEFM	MGI:97314
NEFMP1	
NEGF1	
NEGF2	
NEGR1	MGI:2444846
NEGR1-AS1	
NEGR1-IT1	
NEIL1	MGI:1920024
NEIL2	MGI:2686058
NEIL3	MGI:2384588
NEK1	MGI:97303
NEK2	MGI:109359
NEK2-DT	
NEK2P1	
NEK2P2	
NEK2P3	
NEK2P4	
NEK3	MGI:1344371
NEK4	MGI:1344404
NEK4P1	
NEK4P2	
NEK4P3	
NEK5	MGI:2142824
NEK6	MGI:1891638
NEK7	MGI:1890645
NEK8	MGI:1890646
NEK9	MGI:2387995
NEK10	MGI:2685128
NEK11	MGI:2442276
NELFA	MGI:1346098
NELFB	MGI:1931035
NELFCD	MGI:1926424
NELFE	MGI:102744
NELL1	MGI:2443902
NELL2	MGI:1858510
NEM1	
NEM2	
NEMF	MGI:1918305
NEMP1	MGI:2446113
NEMP2	MGI:2444113
NEMP2-DT	
NENF	MGI:1913458
NENFP1	
NENFP2	
NENFP3	
NEO1	MGI:1097159
NEP	
NEPNP	MGI:1913900
NEPRO	MGI:2384836
NEPRO-AS1	
NES	MGI:101784
NET1	MGI:1927138
NET1	
NETO1	MGI:2180216
NETO1-DT	
NETO2	MGI:1921763
NEU1	MGI:97305
NEU2	MGI:1344417
NEU3	MGI:1355305
NEU4	MGI:2661364
NEURL1	MGI:1334263
NEURL1-AS1	
NEURL1B	MGI:3643092
NEURL2	MGI:3043305
NEURL3	MGI:2429944
NEURL4	MGI:1921092
NEUROD1	MGI:1339708
NEUROD2	MGI:107755
NEUROD3	
NEUROD4	MGI:108055
NEUROD6	MGI:106593
NEUROG1	MGI:107754
NEUROG2	MGI:109619
NEUROG2-AS1	
NEUROG3	MGI:893591
NEXMIF	MGI:2148050
NEXN	MGI:1916060
NEXN-AS1	
NF1	MGI:97306
NF1L3	
NF1P1	
NF1P2	
NF1P3	
NF1P4	
NF1P5	
NF1P6	
NF1P7	
NF1P8	
NF1P9	
NF1P10	
NF1P11	
NF1P12	
NF2	MGI:97307
NFAM1	MGI:1921289
NFASC	MGI:104753
NFAT5	MGI:1859333
NFATC1	MGI:102469
NFATC2	MGI:102463
NFATC2IP	MGI:1329015
NFATC2IP-AS1	
NFATC3	MGI:103296
NFATC4	MGI:1920431
NFATC5	
NFE2	MGI:97308
NFE2L1	MGI:99421
NFE2L1-DT	
NFE2L2	MGI:108420
NFE2L3	MGI:1339958
NFE2L3P1	
NFE2L3P2	
NFE4	
NFIA	MGI:108056
NFIA-AS1	
NFIA-AS2	
NFIB	MGI:103188
NFIB-AS1	
NFIC	MGI:109591
NFIL3	MGI:109495
NFILZ	
NFIX	MGI:97311
NFIXL1	
NFIXL2	
NFIXL3	
NFIXL4	
NFIXL5	
NFKB1	MGI:97312
NFKB2	MGI:1099800
NFKB3	
NFKBIA	MGI:104741
NFKBIB	MGI:104752
NFKBID	MGI:3041243
NFKBIE	MGI:1194908
NFKBIL1	MGI:1340031
NFKBIZ	MGI:1931595
NFRKB	MGI:2442410
NFS1	MGI:1316706
NFU1	MGI:1913290
NFU1P1	
NFU1P2	
NFX1	MGI:1921414
NFXL1	MGI:1923646
NFYA	MGI:97316
NFYAP1	
NFYB	MGI:97317
NFYBP1	
NFYC	MGI:107901
NFYC-AS1	
NFYCP1	
NFYCP2	
NGB	MGI:2151886
NGDN	MGI:1916216
NGEF	MGI:1858414
NGF	MGI:97321
NGF-AS1	
NGFR	MGI:97323
NGFR-AS1	
NGL	
NGLY1	MGI:1913276
NGRN	MGI:1933212
NGRNP1	
NGRNP2	
NGRNP3	
NGRNP4	
NHCP1	
NHCP2	
NHE1	
NHE2	
NHE3	
NHE3P	
NHEG1	
NHEJ1	MGI:1922820
NHERF1	MGI:1349482
NHERF2	MGI:1890662
NHERF4	MGI:2429554
NHIP	
NHLH1	MGI:98481
NHLH2	MGI:97324
NHLRC1	MGI:2145264
NHLRC2	MGI:1914116
NHLRC3	MGI:2444520
NHLRC4	MGI:3687200
NHP2	MGI:1098547
NHP2P1	
NHP2P2	
NHS	MGI:2684894
NHS-AS1	
NHSL1	MGI:106390
NHSL1-AS1	
NHSL2	MGI:3645090
NHSL3	MGI:2140651
NIBAN1	MGI:2137237
NIBAN2	MGI:2442910
NIBAN3	MGI:3686743
NICN1	MGI:1913507
NICN1-AS1	
NICN2P	
NICOL1	MGI:2686519
NID1	MGI:97342
NID2	MGI:1298229
NIDDM1	
NIDDM2	
NIF3L1	MGI:1929485
NIFK	MGI:1915199
NIFK-AS1	
NIFKP1	
NIFKP2	
NIFKP3	
NIFKP4	
NIFKP5	
NIFKP6	
NIFKP7	
NIFKP8	
NIFKP9	
NIHCOLE	
NIM1K	MGI:2442399
NIN	MGI:105108
NINJ1	MGI:1196617
NINJ2	MGI:1352751
NINJ2-AS1	
NINL	MGI:1925427
NIP1L	
NIP7	MGI:1913414
NIP7P1	
NIP7P2	
NIP7P3	
NIPA1	MGI:2442058
NIPA2	MGI:1913918
NIPA2P1	
NIPA2P2	
NIPA2P3	
NIPA2P4	
NIPA2P5	
NIPAL1	MGI:1917951
NIPAL1P1	
NIPAL2	MGI:1924488
NIPAL2-AS1	
NIPAL3	MGI:1921802
NIPAL4	MGI:2444671
NIPAL4-DT	
NIPBL	MGI:1913976
NIPBL-DT	
NIPSNAP1	MGI:1278344
NIPSNAP2	MGI:1278343
NIPSNAP3A	MGI:1913786, MGI:1920648
NIPSNAP3B	MGI:1913786, MGI:1920648
NISCH	MGI:1928323
NIT1	MGI:1350916
NIT2	MGI:1261838
NKAIN1	MGI:1914399
NKAIN1P1	
NKAIN1P2	
NKAIN2	MGI:1923447
NKAIN3	MGI:2444830
NKAIN3-IT1	
NKAIN4	MGI:1915372
NKAP	MGI:1914300
NKAPD1	MGI:2143205
NKAPL	MGI:1913957
NKAPP1	
NKD1	MGI:2135954
NKD2	MGI:1919543
NKG2	
NKG7	MGI:1931250
NKILA	
NKIRAS1	MGI:1916971
NKIRAS2	MGI:1919216
NKPD1	MGI:1916797
NKR	
NKRF	MGI:1924536
NKS1	
NKTR	MGI:97346
NKX1-1	MGI:109346
NKX1-2	MGI:104806
NKX2-1	MGI:108067
NKX2-1-AS1	
NKX2-2	MGI:97347
NKX2-2-AS1	
NKX2-3	MGI:97348
NKX2-4	MGI:97349
NKX2-5	MGI:97350
NKX2-6	MGI:97351
NKX2-8	MGI:1270158
NKX2A	
NKX3-1	MGI:97352
NKX3-2	MGI:108015
NKX6-1	MGI:1206039
NKX6-2	MGI:1352738
NKX6-3	MGI:1921811
NLE1	MGI:2429770
NLGN1	MGI:2179435
NLGN1-AS1	
NLGN2	MGI:2681835
NLGN3	MGI:2444609
NLGN4X	
NLGN4Y	
NLGN4Y-AS1	
NLK	MGI:1201387
NLN	MGI:1923055
NLRC3	MGI:2444070
NLRC4	MGI:3036243
NLRC5	MGI:3612191
NLRP1	MGI:2684861
NLRP2	MGI:3041206
NLRP2B	
NLRP3	MGI:2653833
NLRP3P1	
NLRP4	
NLRP5	MGI:1345193
NLRP6	MGI:2141990
NLRP7	
NLRP7P1	
NLRP8	
NLRP9	
NLRP9P1	
NLRP10	MGI:2444084
NLRP11	
NLRP12	MGI:2676630
NLRP13	
NLRP14	MGI:1924108
NLRX1	MGI:2429611
NLVCF	
NM	
NMB	MGI:1915289
NMBR	MGI:1100525
NMBR-AS1	
NMD3	MGI:2140103
NMD3P1	
NMD3P2	
NMDAR1	
NMDAR2A	
NMDAR2B	
NMDAR2C	
NMDARA1	
NME1	MGI:97355
NME1-NME2	
NME1P1	
NME2	MGI:97356
NME2P1	
NME2P2	
NME2P3	
NME3	MGI:1930182
NME4	MGI:1931148
NME5	MGI:1922783
NME6	MGI:1861676
NME7	MGI:2449121
NME8	MGI:1920662
NME9	MGI:4359686
NMI	MGI:1928368
NMNAT1	MGI:1913704
NMNAT1P1	
NMNAT1P2	
NMNAT1P3	
NMNAT1P4	
NMNAT1P5	
NMNAT2	MGI:2444155
NMNAT3	MGI:1921330
NMOR1	
NMRAL1	MGI:1915074
NMRAL2P	
NMRK1	MGI:2147434
NMRK2	MGI:1916814
NMS	MGI:3583618
NMT1	MGI:102579
NMT2	MGI:1202298
NMTRL-TAA1-1	
NMTRL-TAA2-1	
NMTRL-TAA3-1	
NMTRL-TAA4-1	
NMTRL-TAA5-1	
NMTRL-TAA6-1	
NMTRP-TGG1-1	
NMTRQ-CTG1-1	
NMTRQ-TTG1-1	
NMTRQ-TTG2-1	
NMTRQ-TTG3-1	
NMTRQ-TTG4-1	
NMTRQ-TTG5-1	
NMTRQ-TTG6-1	
NMTRQ-TTG7-1	
NMTRQ-TTG8-1	
NMTRQ-TTG9-1	
NMTRQ-TTG10-1	
NMTRQ-TTG11-1	
NMTRQ-TTG12-1	
NMTRQ-TTG13-1	
NMTRQ-TTG14-1	
NMTRQ-TTG15-1	
NMTRS-TGA1-1	
NMTRS-TGA2-1	
NMTRS-TGA3-1	
NMTRV-TAC1-1	
NMU	MGI:1860476
NMUR1	MGI:1341898
NMUR2	MGI:2441765
NNAT	MGI:104716
NNMT	MGI:1099443
NNO1	
NNT	MGI:109279
NNT-AS1	
NOA1	MGI:1914306
NOB1	MGI:1914869
NOBOX	MGI:108011
NOC2L	MGI:1931051
NOC2LP1	
NOC2LP2	
NOC3L	MGI:1932610
NOC4L	MGI:2140843
NOCT	MGI:109382
NOD1	MGI:1341839
NOD2	MGI:2429397
NODAL	MGI:97359
NOG	MGI:104327
NOL2	
NOL3	MGI:1925938
NOL4	MGI:2441684
NOL4L	MGI:1918765
NOL4L-DT	
NOL6	MGI:2140151
NOL7	MGI:1917328
NOL8	MGI:1918180
NOL8P1	
NOL9	MGI:1921285
NOL10	MGI:2684913
NOL11	MGI:1916229
NOL12	MGI:2146285
NOLC1	MGI:1918019
NOLC1P1	
NOM1	MGI:1861749
NOMO1	MGI:2385850
NOMO2	
NOMO3	
NONO	MGI:1855692
NONOP1	
NONOP2	
NOP2	MGI:107891
NOP9	MGI:1915092
NOP10	MGI:1913431
NOP14	MGI:1922666
NOP14-AS1	
NOP16	MGI:107862
NOP53	MGI:2154441
NOP53-AS1	
NOP56	MGI:1914384
NOP56P1	
NOP56P2	
NOP56P3	
NOP58	MGI:1933184
NOPCHAP1	MGI:106381
NORAD	MGI:1914767
NOS1	MGI:97360
NOS1AP	MGI:1917979
NOS2	MGI:97361
NOS2P1	
NOS2P2	
NOS2P3	
NOS2P4	
NOS3	MGI:97362
NOSIP	MGI:1913644
NOSTRIN	MGI:3606242
NOT1	
NOT2	
NOT3	
NOT4	
NOTCH1	MGI:97363
NOTCH2	MGI:97364
NOTCH2NLA	
NOTCH2NLB	
NOTCH2NLC	
NOTCH2NLR	
NOTCH2P1	
NOTCH3	MGI:99460
NOTCH4	MGI:107471
NOTO	MGI:3053002
NOTUM	MGI:1924833
NOVA1	MGI:104297
NOVA1-DT	
NOVA2	MGI:104296
NOVA3	
NOX1	MGI:2450016
NOX3	MGI:2681162
NOX4	MGI:1354184
NOX4P1	
NOX5	
NOXA1	MGI:2449980
NOXO1	MGI:1919143
NOXRED1	MGI:1918525
NPAP1	
NPAP1L	
NPAP1P1	
NPAP1P2	
NPAP1P3	
NPAP1P4	
NPAP1P5	
NPAP1P6	
NPAP1P7	
NPAP1P8	
NPAP1P9	
NPAP60L	
NPAS1	MGI:109205
NPAS2	MGI:109232
NPAS2-AS1	
NPAS3	MGI:1351610
NPAS4	MGI:2664186
NPAT	MGI:107605
NPB	MGI:2387153
NPBWR1	MGI:891989
NPBWR2	
NPC1	MGI:1097712
NPC1L1	MGI:2685089
NPC2	MGI:1915213
NPCDR1	
NPDC1	MGI:1099802
NPEPL1	MGI:2448523
NPEPPS	MGI:1101358
NPEPPSP1	
NPEPPSP2	
NPFF	MGI:1891708
NPFFR1	MGI:2685082
NPFFR2	MGI:1860130
NPH1	
NPHL1	
NPHL2	
NPHP1	MGI:1858233
NPHP2	
NPHP3	MGI:1921275
NPHP3-ACAD11	
NPHP3-AS1	
NPHP4	MGI:2384210
NPHS1	MGI:1859637
NPHS2	MGI:2157018
NPIPA1	
NPIPA2	
NPIPA3	
NPIPA5	
NPIPA6	
NPIPA7	
NPIPA8	
NPIPA9	
NPIPB1P	
NPIPB2	
NPIPB3	
NPIPB4	
NPIPB5	
NPIPB6	
NPIPB7	
NPIPB8	
NPIPB9	
NPIPB10P	
NPIPB11	
NPIPB12	
NPIPB13	
NPIPB14P	
NPIPB15	
NPIPP1	
NPL	MGI:1921341
NPLOC4	MGI:2679787
NPLP1	
NPM1	MGI:106184
NPM1P1	
NPM1P2	
NPM1P3	
NPM1P4	
NPM1P5	
NPM1P6	
NPM1P7	
NPM1P8	
NPM1P9	
NPM1P10	
NPM1P11	
NPM1P12	
NPM1P13	
NPM1P14	
NPM1P15	
NPM1P16	
NPM1P17	
NPM1P18	
NPM1P19	
NPM1P20	
NPM1P21	
NPM1P22	
NPM1P23	
NPM1P24	
NPM1P25	
NPM1P26	
NPM1P27	
NPM1P28	
NPM1P29	
NPM1P30	
NPM1P31	
NPM1P32	
NPM1P33	
NPM1P34	
NPM1P35	
NPM1P36	
NPM1P37	
NPM1P38	
NPM1P39	
NPM1P40	
NPM1P41	
NPM1P42	
NPM1P43	
NPM1P44	
NPM1P45	
NPM1P46	
NPM1P47	
NPM1P48	
NPM1P49	
NPM1P50	
NPM1P51	
NPM1P52	
NPM2	MGI:1890811
NPM3	MGI:894653
NPMP1	
NPMP2	
NPMP3	
NPMP4	
NPMP5	
NPMP6	
NPMP7	
NPNT	MGI:2148811
NPPA	MGI:97367
NPPA-AS1	
NPPB	MGI:97368
NPPC	MGI:97369
NPPS	
NPR1	MGI:97371
NPR2	MGI:97372
NPR3	MGI:97373
NPRA	
NPRB	
NPRC	
NPRL2	MGI:1914482
NPRL3	MGI:109258
NPS	MGI:3642232
NPS1	
NPSR1	MGI:2441738
NPSR1-AS1	
NPT1	
NPT2	
NPTN	MGI:108077
NPTN-IT1	
NPTX1	MGI:107811
NPTX2	MGI:1858209
NPTXR	MGI:1920590
NPVF	MGI:1926488
NPW	MGI:2685781
NPY	MGI:97374
NPY1R	MGI:104963
NPY2R	MGI:108418
NPY2R-AS1	
NPY4R	MGI:105374
NPY4R2	
NPY5R	MGI:108082
NPY6R	MGI:1098590
NQO1	MGI:103187
NQO1-DT	
NQO2	MGI:104513
NQO2-AS1	
NR1D1	MGI:2444210
NR1D2	MGI:2449205
NR1H1	
NR1H2	MGI:1352463
NR1H3	MGI:1352462
NR1H4	MGI:1352464
NR1H5P	MGI:3026618
NR1I2	MGI:1337040
NR1I3	MGI:1346307
NR1I4	
NR2C1	MGI:1352465
NR2C2	MGI:1352466
NR2C2AP	MGI:1922942
NR2E1	MGI:1100526
NR2E3	MGI:1346317
NR2F1	MGI:1352451
NR2F1-AS1	
NR2F2	MGI:1352452
NR2F2-AS1	
NR2F6	MGI:1352453
NR3C1	MGI:95824
NR3C1P1	
NR3C2	MGI:99459
NR4A1	MGI:1352454
NR4A1AS	
NR4A2	MGI:1352456
NR4A3	MGI:1352457
NR5A1	MGI:1346833
NR5A2	MGI:1346834
NR6A1	MGI:1352459
NRAD1	
NRADDP	MGI:1914419
NRAL	
NRAMP1	
NRAMP2	
NRAP	MGI:1098765
NRARP	MGI:1914372
NRAS	MGI:97376
NRASL1	
NRASL2	
NRASL3	
NRAV	
NR0B1	MGI:1352460
NR0B2	MGI:1346344
NRBF2	MGI:1354950
NRBF2P1	
NRBF2P2	
NRBF2P3	
NRBF2P4	
NRBF2P5	
NRBF2P6	
NRBP1	MGI:2183436
NRBP2	MGI:2385017
NRCAM	MGI:104750
NRDC	MGI:1201386
NRDE2	MGI:2670969
NREP	MGI:99444
NREP-AS1	
NRF1	MGI:1332235
NRG1	MGI:96083
NRG1-IT1	
NRG1-IT2	
NRG1-IT3	
NRG2	MGI:1098246
NRG3	MGI:1097165
NRG3-AS1	
NRG4	MGI:1933833
NRGN	MGI:1927184
NRIP1	MGI:1315213
NRIP2	MGI:1891884
NRIP3	MGI:1925843
NRIP3-DT	
NRIR	
NRK	MGI:1351326
NRL	MGI:102567
NRM	MGI:2146855
NRN1	MGI:1915654
NRN1L	MGI:2443642
NRON	MGI:2444126
NRP1	MGI:106206
NRP2	MGI:1100492
NRP2-AS1	
NRPB	
NRROS	MGI:2445095
NRSN1	MGI:894662
NRSN2	MGI:2684969
NRSN2-AS1	
NRTN	MGI:108417
NRXN1	MGI:1096391
NRXN1-DT	
NRXN2	MGI:1096362
NRXN2-AS1	
NRXN3	MGI:1096389
NRXN4	
NS1	
NSA2	MGI:1913883
NSA2P1	
NSA2P2	
NSA2P3	
NSA2P4	
NSA2P5	
NSA2P6	
NSA2P7	
NSD1	MGI:1276545
NSD2	MGI:1276574
NSD3	MGI:2142581
NSDHL	MGI:1099438
NSF	MGI:104560
NSFL1C	MGI:3042273
NSFP1	
NSG1	MGI:109149
NSG2	MGI:1202070
NSL1	MGI:2685830
NSMAF	MGI:1341864
NSMCE1	MGI:1914961
NSMCE1-DT	
NSMCE2	MGI:1915751
NSMCE3	MGI:1913897
NSMCE4A	MGI:1915122
NSMF	MGI:1861755
NSP	
NSRP1	MGI:2144305
NSRP1P1	
NSUN2	MGI:107252
NSUN3	MGI:2146565
NSUN4	MGI:1919431
NSUN5	MGI:2140844
NSUN5P1	
NSUN5P2	
NSUN6	MGI:1921705
NSUN7	MGI:1918168
NSX	
NT3	
NT5C	MGI:1354954
NT5C1A	MGI:2155700
NT5C1B	MGI:1918131
NT5C1B-RDH14	
NT5C2	MGI:2178563
NT5C3A	MGI:1927186
NT5C3AP1	
NT5C3AP2	
NT5C3B	MGI:1915356
NT5CP1	
NT5CP2	
NT5CP3	
NT5DC1	MGI:2442446
NT5DC1P1	
NT5DC1P2	
NT5DC2	MGI:1917271
NT5DC3	MGI:3513266
NT5DC4	
NT5E	MGI:99782
NT5ELP	MGI:1914013
NT5M	MGI:1917127
NTAN1	MGI:108471
NTAN1P1	
NTAN1P2	
NTAN1P3	
NTAQ1	MGI:1924023
NTF3	MGI:97380
NTF4	MGI:97381
NTF6A	
NTF6B	
NTF6G	
NTHL1	MGI:1313275
NTM	MGI:2446259
NTM-AS1	
NTM-IT	
NTM-IT1	
NTM-IT2	
NTMT1	MGI:1913867
NTMT2	MGI:2685053
NTN1	MGI:105088
NTN3	MGI:1341188
NTN4	MGI:1888978
NTN5	MGI:2685330
NTNG1	MGI:1934028
NTNG2	MGI:2159341
NTPCR	MGI:1913816
NTRAS	
NTRK1	MGI:97383
NTRK2	MGI:97384
NTRK3	MGI:97385
NTRK3-AS1	
NTRK4	
NTRKR1	
NTRKR2	
NTRKR3	
NTS	MGI:1328351
NTSR1	MGI:97386
NTSR2	MGI:108018
NUAK1	MGI:1925226
NUAK2	MGI:1921387
NUB1	MGI:1889001
NUBP1	MGI:1347073
NUBP2	MGI:1347072
NUBPL	MGI:1924076
NUBPL-DT	
NUCB1	MGI:97388
NUCB1-AS1	
