Phenotype description	Gene name
head mesenchyme part_of oral region spatial pattern	gad1b
hindbrain morphology	gad1b
midbrain morphology	gad1b
neurocranial trabecula decreased length	gad1b
transmission of nerve impulse occurs_in brain occurrence	gad1b
transmission of nerve impulse occurs_in optic tectum occurrence	gad1b
ventral mandibular arch decreased size	gad1b
	nubpl
	crygs1
	nepro
G1 to G0 transition disrupted	birc5b
P granule part_of blastomere decreased size	birc5b
actin cytoskeleton organization disrupted	birc5b
actin filament part_of blastomere branched	birc5b
angioblastic mesenchymal cell part_of lateral plate mesoderm cellular motility	birc5b
aortic arch hypoplastic	birc5b
apoptotic process increased occurrence	birc5b
aster part_of blastomere mislocalised	birc5b
astral microtubule organization occurs_in blastomere disrupted	birc5b
astral microtubule part_of blastomere disorganized	birc5b
atrioventricular valve decreased diameter	birc5b
axial vasculature apoptotic	birc5b
axial vasculature decreased diameter	birc5b
blood circulation decreased occurrence	birc5b
brain decreased size	birc5b
cardiac ventricle decreased size	birc5b
caudal vein plexus apoptotic	birc5b
caudal vein plexus morphology	birc5b
cell population proliferation decreased occurrence	birc5b
cleavage furrow part_of blastomere absent	birc5b
cortical actin cytoskeleton part_of blastomere morphology	birc5b
cortical microtubule cytoskeleton part_of blastomere disorganized	birc5b
egg activation disrupted	birc5b
embryonic camera-type eye development delayed	birc5b
endocardial ring decreased size	birc5b
erythrocyte differentiation disrupted	birc5b
erythroid lineage cell decreased amount	birc5b
head development delayed	birc5b
head decreased size	birc5b
hemopoiesis decreased occurrence	birc5b
intermediate cell mass of mesoderm apoptotic	birc5b
meiotic metaphase II chromosome alignment disrupted	birc5b
meiotic sister chromatid cohesion involved in meiosis II disrupted	birc5b
meiotic spindle part_of unfertilized egg bent	birc5b
microtubule bundle part_of unfertilized egg absent	birc5b
mitotic metaphase chromosome alignment disrupted	birc5b
mitotic sister chromatid segregation disrupted	birc5b
mitotic spindle part_of blastomere disorganized	birc5b
motor neuron part_of head disorganized	birc5b
neuron apoptotic process increased occurrence	birc5b
neuron differentiation disrupted	birc5b
nucleate erythrocyte decreased amount	birc5b
oocyte microtubule cytoskeleton organization disrupted	birc5b
posterior neural tube apoptotic	birc5b
primitive hemopoiesis disrupted	birc5b
proliferative region part_of caudal vein plexus decreased functionality	birc5b
proliferative region part_of neural tube decreased functionality	birc5b
protein-RNA complex assembly disrupted	birc5b
sinus venosus decreased functionality	birc5b
sinus venosus increased accumulation	birc5b
sister chromosome movement towards spindle pole involved in meiotic sister chromatid segregation disrupted	birc5b
sperm aster formation disrupted	birc5b
whole organism dead	birc5b
anterior region part_of head increased length	ddx11
eye decreased distance	ddx11
eye decreased size	ddx11
mouth decreased position	ddx11
mouth protruding	ddx11
nucleolar chromatin organization process quality	ddx11
rRNA transcription decreased process quality	ddx11
regulation of transcription of nucleolar large rRNA by RNA polymerase I decreased process quality	ddx11
trunk curved caudal	ddx11
whole organism decreased length	ddx11
cell death increased occurrence	appa
central nervous system development disrupted	appa
central nervous system morphology	appa
cranium edematous	appa
whole organism decreased length	appa
whole organism decreased size	appa
whole organism morphology	appa
	her11
	cast
	fgf5
	akr1a1a
	maats1
	best1
Z disc part_of skeletal muscle cell malformed	vcp
autophagy decreased occurrence	vcp
axon part_of motor neuron branched	vcp
axon part_of motor neuron truncated	vcp
blood circulation decreased magnitude	vcp
brain apoptotic	vcp
brain degeneration	vcp
cardiac muscle cell part_of heart disorganized	vcp
cell part_of diencephalon decreased amount	vcp
cranial nerve II decreased width	vcp
diencephalon apoptotic	vcp
embryo development delayed	vcp
eye apoptotic	vcp
eye degeneration	vcp
eye size	vcp
head size	vcp
heart contraction decreased frequency	vcp
heart contraction decreased magnitude	vcp
heart contraction occurs_in heart decreased process quality	vcp
heart edematous	vcp
inclusion body part_of muscle cell increased amount	vcp
involuntary skeletal muscle contraction decreased occurrence	vcp
locomotion disrupted	vcp
mitochondrion part_of cardiac muscle cell morphology	vcp
mitochondrion part_of muscle cell morphology	vcp
mitochondrion part_of skeletal muscle malformed	vcp
muscle cell part_of myotome broken	vcp
muscle cell part_of myotome disorganized	vcp
neuron part_of retinal ganglion cell layer degenerate	vcp
neuron part_of retinal inner plexiform layer degenerate	vcp
nucleus part_of diencephalon aggregated	vcp
nucleus part_of eye aggregated	vcp
proteasome-mediated ubiquitin-dependent protein catabolic process decreased occurrence	vcp
response to endoplasmic reticulum stress occurs_in whole organism increased process quality	vcp
retinal ganglion cell layer decayed	vcp
retinal inner plexiform layer decayed	vcp
skeletal muscle cell part_of myotome has extra parts of type GO:0031982	vcp
skeletal muscle myofibril part_of skeletal muscle disorganized	vcp
skeletal muscle part_of myotome malformed	vcp
skeletal myofibril assembly occurs_in skeletal muscle decreased process quality	vcp
swimming occurs_in whole organism decreased process quality	vcp
thigmotaxis decreased occurrence	vcp
thigmotaxis disrupted	vcp
trunk curved ventral	vcp
whole organism absent	vcp
whole organism dead	vcp
whole organism decreased amount	vcp
whole organism decreased mobility	vcp
whole organism increased amount	vcp
whole organism morphology	vcp
whole organism viability	vcp
heart contraction increased rate	sos2
intestine edematous	sos2
pericardium edematous	sos2
pronephric glomerulus spatial pattern	sos2
pronephric proximal convoluted tubule decreased size	sos2
pronephric proximal convoluted tubule increased length	sos2
pronephric proximal convoluted tubule morphology	sos2
pronephric proximal convoluted tubule spatial pattern	sos2
pronephros decreased functionality	sos2
pronephros spatial pattern	sos2
whole organism decreased length	sos2
whole organism decreased life span	sos2
	comp
	dpagt1
	adh8a
muscle cell disorganized	myl1
muscle cell sparse	myl1
muscle cell undulate	myl1
post-vent region bent	myl1
skeletal muscle morphology	myl1
thigmotaxis decreased process quality	myl1
whole organism increased curvature	myl1
	mylz3
	zgc:77938
	dguok
	unc13d
	ndufs6
	tnni2b.2
T cell absent	tnfrsf1b
apoptotic process increased occurrence	tnfrsf1b
blood circulation disrupted	tnfrsf1b
canonical NF-kappaB signal transduction occurs_in integument increased process quality	tnfrsf1b
caudal artery poorly differentiated	tnfrsf1b
caudal vein malformed	tnfrsf1b
caudal vein poorly differentiated	tnfrsf1b
endothelial cell apoptotic	tnfrsf1b
endothelial cell decreased amount	tnfrsf1b
glial cell absent	tnfrsf1b
glial cell decreased amount	tnfrsf1b
hematopoietic multipotent progenitor cell decreased amount	tnfrsf1b
hematopoietic multipotent progenitor cell part_of caudal hematopoietic tissue absent	tnfrsf1b
hematopoietic multipotent progenitor cell part_of caudal hematopoietic tissue decreased amount	tnfrsf1b
hematopoietic multipotent progenitor cell part_of ventral wall of dorsal aorta increased amount	tnfrsf1b
hematopoietic stem cell part_of ventral wall of dorsal aorta decreased amount	tnfrsf1b
hydrogen peroxide part_of integument increased amount	tnfrsf1b
neutrophil part_of integument increased amount	tnfrsf1b
nucleate erythrocyte increased accumulation	tnfrsf1b
peripheral nervous system axon ensheathment occurs_in dorsal root ganglion decreased occurrence	tnfrsf1b
sprouting angiogenesis disrupted	tnfrsf1b
ventral wall of dorsal aorta decreased distribution	tnfrsf1b
whole organism hemorrhagic	tnfrsf1b
	glb1
	ungb
double-strand break repair via alternative nonhomologous end joining increased process quality	lig4
double-strand break repair via homologous recombination increased frequency	lig4
double-strand break repair via nonhomologous end joining decreased frequency	lig4
double-strand break repair via single-strand annealing decreased frequency	lig4
	zgc:65894
blood decreased amount	mpl
cell population proliferation occurs_in thromboblast decreased occurrence	mpl
cell population proliferation occurs_in thrombocyte decreased occurrence	mpl
head kidney decreased amount	mpl
hematopoietic multipotent progenitor cell part_of head kidney decreased amount	mpl
thrombocyte decreased amount	mpl
thrombocyte part_of blood decreased amount	mpl
thrombocyte part_of head kidney decreased amount	mpl
whole organism decreased amount	mpl
mechanosensory behavior process quality	glra1
myotome atrophied	glra1
notochord morphology	glra1
response to light stimulus decreased occurrence	glra1
startle response process quality	glra1
startle response sporadic	glra1
swimming behavior decreased occurrence	glra1
thigmotaxis disrupted	glra1
thigmotaxis process quality	glra1
tonic skeletal muscle contraction process quality	glra1
tonic skeletal muscle contraction sporadic	glra1
trunk decreased length	glra1
whole organism decreased length	insb
whole organism decreased life span	insb
whole organism malformed	insb
whole organism physical object quality	insb
	zgc:110782
pancreatic B cell decreased amount	gck
pancreatic B cell decreased area	gck
Melanin part_of whole organism decreased amount	mitfa
bone mineralization occurs_in vertebra decreased process quality	mitfa
calcium carbonate part_of caudal fin increased amount	mitfa
caudal fin has extra parts of type	mitfa
dermis part_of trunk lacks all parts of type	mitfa
developmental pigmentation disrupted	mitfa
dorsal region part_of head increased accumulation	mitfa
dorsal region part_of trunk increased amount	mitfa
iridophore absent	mitfa
iridophore increased amount	mitfa
iridophore irregular spatial pattern	mitfa
iridophore part_of trunk mislocalised	mitfa
medial region part_of trunk absent	mitfa
melanocyte differentiation delayed	mitfa
melanocyte differentiation disrupted	mitfa
melanocyte migration disrupted	mitfa
melanocyte absent	mitfa
melanocyte aplastic	mitfa
melanocyte decreased amount	mitfa
melanocyte decreased pigmentation	mitfa
melanocyte irregular spatial pattern	mitfa
melanocyte part_of caudal fin decreased amount	mitfa
melanocyte part_of larval melanophore stripe absent	mitfa
melanocyte part_of melanophore stripe absent	mitfa
melanocyte part_of whole organism absent	mitfa
melanophore stripe absent	mitfa
melanophore stripe morphology	mitfa
neural crest cell migration decreased process quality	mitfa
pigment cell decreased amount	mitfa
pigment cell irregular spatial pattern	mitfa
pigment cell quality	mitfa
pigmentation decreased occurrence	mitfa
pigmentation disrupted	mitfa
retinal pigmented epithelium decreased pigmentation	mitfa
swimming behavior process quality	mitfa
trunk colorless	mitfa
ventral region part_of caudal fin decreased pigmentation	mitfa
whole organism decreased amount	mitfa
whole organism lacks all parts of type	mitfa
whole organism lacks parts or has fewer parts of type	mitfa
xanthophore decreased amount	mitfa
	mogs
anterior region part_of trunk apoptotic	nup88
anterior-posterior axis part_of whole organism increased length	nup88
aortic arch 1 morphology	nup88
apoptotic process occurs_in brain increased occurrence	nup88
apoptotic process occurs_in eye increased occurrence	nup88
apoptotic process occurs_in head increased occurrence	nup88
cholinergic synapse part_of fast muscle cell spatial pattern	nup88
eye decreased size	nup88
gut morphology	nup88
head decreased size	nup88
liver hypoplastic	nup88
locomotory behavior decreased occurrence	nup88
melanocyte quality	nup88
neuromuscular junction of skeletal muscle fiber part_of fast muscle cell morphology	nup88
pharyngeal arch 2 morphology	nup88
pharyngeal arch 3-7 absent	nup88
swim bladder aplastic	nup88
thigmotaxis decreased occurrence	nup88
whole organism curved ventral	nup88
whole organism decreased amount	nup88
whole organism decreased life span	nup88
	porb
axon part_of motor neuron branchiness	zfyve26
axon part_of motor neuron truncated	zfyve26
blastomere has extra parts of type GO:0005634	zfyve26
cortical granule exocytosis decreased process quality	zfyve26
cytokinesis process quality	zfyve26
cytoplasm part_of unfertilized egg opaque	zfyve26
egg chorion part_of fertilized egg elevation	zfyve26
egg chorion part_of unfertilized egg elevation	zfyve26
embryonic cleavage process quality	zfyve26
eye decreased size	zfyve26
head decreased size	zfyve26
lysosome part_of oocyte stage III broken	zfyve26
motor neuron axon guidance process quality	zfyve26
oocyte stage III has extra parts of type GO:0060473	zfyve26
post-vent region deformed	zfyve26
post-vent region increased curvature	zfyve26
post-vent region kinked	zfyve26
secretory granule part_of oocyte accumulation	zfyve26
skeletal muscle acetylcholine-gated channel clustering disrupted	zfyve26
swimming behavior disrupted	zfyve26
thigmotaxis disrupted	zfyve26
definitive hemopoiesis disrupted	gfi1b
erythroblast decreased amount	gfi1b
erythroblast increased amount	gfi1b
hematopoietic stem cell decreased amount	gfi1b
hemoglobin complex part_of erythroid lineage cell decreased amount	gfi1b
mandibular arch skeleton dysplastic	gfi1b
thrombocyte decreased amount	gfi1b
Kupffer's vesicle decreased area	orc1
anatomical surface part_of whole organism decreased area	orc1
cilium part_of Kupffer's vesicle decreased length	orc1
determination of left/right symmetry disrupted	orc1
determination of pancreatic left/right asymmetry disrupted	orc1
embryo development disrupted	orc1
endocrine pancreas mislocalised	orc1
eye decreased size	orc1
head decreased size	orc1
heart looping disrupted	orc1
heart structure	orc1
mandibular arch skeleton hypoplastic	orc1
otolith decreased amount	orc1
pericardium edematous	orc1
pronephros cystic	orc1
whole organism curvature	orc1
whole organism decreased length	orc1
whole organism dwarf-like	orc1
	gclc
excretion decreased magnitude	slc26a3.1
	dse
brain absent	mlc1
brain fluid-filled	mlc1
midbrain lesioned	mlc1
midbrain physical object quality	mlc1
telencephalon increased size	mlc1
telencephalon lesioned	mlc1
telencephalon physical object quality	mlc1
	cant1b
angiogenic sprout part_of central artery complexity	ikbkb
angiogenic sprout part_of central artery decreased amount	ikbkb
angiogenic sprout part_of central artery decreased branchiness	ikbkb
breeding tubercle part_of male organism decreased amount	ikbkb
breeding tubercle part_of male organism deformed	ikbkb
cell detached from	ikbkb
central artery hemorrhagic	ikbkb
ceratobranchial 5 tooth decreased amount	ikbkb
cleavage furrow part_of blastomere blurry	ikbkb
cleavage furrow part_of cell decreased amount	ikbkb
head hemorrhagic	ikbkb
integument broken	ikbkb
nucleus part_of EVL fused with GO:0005634	ikbkb
nucleus part_of cell increased amount	ikbkb
whole organism decreased amount	ikbkb
whole organism decreased life span	ikbkb
whole organism decreased pigmentation	ikbkb
whole organism increased amount	ikbkb
wound healing decreased occurrence	ikbkb
yolk syncytial layer increased size	ikbkb
	ppt1
	gipr
intersegmental vessel incomplete structure	arhgef2
posterior cardinal vein decreased width	arhgef2
	ncf4
	HTRA2
anal fin development process quality	akt2
anal fin morphogenesis process quality	akt2
apoptotic process increased occurrence	akt2
axis decreased length	akt2
caudal fin development process quality	akt2
caudal fin morphogenesis process quality	akt2
dorsal fin development process quality	akt2
dorsal fin morphogenesis process quality	akt2
glucose import decreased rate	akt2
glucose part_of blood increased amount	akt2
head opaque	akt2
heart decreased amount	akt2
liver decreased amount	akt2
muscle decreased amount	akt2
pectoral fin development process quality	akt2
pectoral fin morphogenesis process quality	akt2
whole organism dead	akt2
whole organism decreased amount	akt2
whole organism decreased weight	akt2
whole organism increased amount	akt2
whole organism viability	akt2
	si:ch211-1e14.1
	tmco1
	ifngr2
	HTRA2
	il12bb
	HTRA2
egg-laying behavior decreased occurrence	lhcgr
female organism decreased fertility	lhcgr
ovarian follicle stage III decreased amount	lhcgr
ovarian follicle stage IV increased amount	lhcgr
ovary increased size	lhcgr
ovulation decreased occurrence	lhcgr
ovulation process quality	lhcgr
postovulatory follicle increased amount	lhcgr
whole organism decreased female fertility	lhcgr
atrium decreased size	scn12aa
atrium morphology	scn12aa
atrium orientation	scn12aa
blood circulation disrupted	scn12aa
cardiac muscle cell differentiation disrupted	scn12aa
cardiac muscle cell part_of cardiac ventricle irregular spatial pattern	scn12aa
cardiac ventricle decreased size	scn12aa
cardiac ventricle lacks all parts of type	scn12aa
cardiac ventricle morphology	scn12aa
extension decreased length	scn12aa
eye apoptotic	scn12aa
forebrain apoptotic	scn12aa
head decreased size	scn12aa
heart contraction decreased rate	scn12aa
heart looping arrested	scn12aa
heart primordium decreased size	scn12aa
heart primordium has fewer parts of type	scn12aa
heart rudiment decreased size	scn12aa
heart rudiment has fewer parts of type	scn12aa
heart has fewer parts of type	scn12aa
heart hypoplastic	scn12aa
heart malformed	scn12aa
	ehmt1a
	trpm4a
gonad increased amount	foxl2a
ovary decreased amount	foxl2a
ovary increased amount	foxl2a
ovary morphology	foxl2a
ovary senescent	foxl2a
reproductive senescence occurs_in oocyte increased occurrence	foxl2a
	mertka
A band part_of somite morphology	inpp5ka
I band part_of somite morphology	inpp5ka
acetylcholine-gated channel complex part_of skeletal muscle decreased size	inpp5ka
anterior region part_of lens mislocalised	inpp5ka
cell part_of lens disorganized	inpp5ka
eye decreased size	inpp5ka
eye oblique orientation	inpp5ka
head decreased size	inpp5ka
junctional membrane complex part_of somite decreased size	inpp5ka
lens development in camera-type eye disrupted	inpp5ka
lens decreased diameter	inpp5ka
lens has extra parts of type GO:0005634	inpp5ka
muscle cell part_of somite attachment quality	inpp5ka
muscle cell part_of somite disorganized	inpp5ka
muscle cell part_of somite sparse	inpp5ka
muscle cell part_of somite undulate	inpp5ka
neuromuscular junction development skeletal muscle fiber disrupted	inpp5ka
neuromuscular junction part_of skeletal muscle morphology	inpp5ka
nucleus part_of lens mislocalised	inpp5ka
sarcomere organization disrupted	inpp5ka
skeletal muscle myofibril part_of skeletal muscle structure	inpp5ka
skeletal muscle tissue development disrupted	inpp5ka
whole organism decreased length	inpp5ka
	tspeara
	tjp2a
	HTRA2
cranium shape	runx2a
neuron part_of hypothalamus decreased amount	runx2a
angioblast cell migration decreased process quality	nr2f1b
blood circulation disrupted	nr2f1b
cell part_of intersegmental vessel decreased amount	nr2f1b
cell part_of vein decreased amount	nr2f1b
dorsal longitudinal anastomotic vessel structure	nr2f1b
endothelial cell part_of posterior cardinal vein decreased amount	nr2f1b
eye decreased size	nr2f1b
intersegmental vessel decreased length	nr2f1b
intersegmental vessel incomplete structure	nr2f1b
intersegmental vessel spatial pattern	nr2f1b
intersegmental vessel structure	nr2f1b
parachordal vessel absent	nr2f1b
pericardium edematous	nr2f1b
posterior cardinal vein decreased amount	nr2f1b
subintestinal vein structure	nr2f1b
vasculature development disrupted	nr2f1b
vein decreased distribution	nr2f1b
whole organism decreased amount	nr2f1b
	trpa1a
	ntrk2a
	cnga3a
brain absent	gnrh3
brain decreased amount	gnrh3
fertilization occurs_in female organism decreased rate	gnrh3
male organism increased amount	gnrh3
olfactory bulb absent	gnrh3
preoptic area absent	gnrh3
primordial germ cell decreased amount	gnrh3
whole organism decreased amount	gnrh3
whole organism increased amount	gnrh3
	si:ch211-112c15.8
	agk
	qrsl1
	tdo2b
	itm2ba
response to cytokine decreased process quality	il10ra
Meckel's cartilage distance	hspg2
acetylcholine receptor activity disrupted	hspg2
actin filament bundle part_of trunk musculature disorganized	hspg2
angiogenesis disrupted	hspg2
atrium elongated	hspg2
blood vessel endothelial cell part_of intersegmental vessel decreased amount	hspg2
blood vessel decreased amount	hspg2
cardiac ventricle elongated	hspg2
cardiovascular system morphology	hspg2
ceratohyal cartilage decreased distance	hspg2
chondrocyte decreased amount	hspg2
chondrocyte increased amount	hspg2
chondrocyte part_of quadrate-anguloarticular joint decreased amount	hspg2
dorsal aorta collapsed	hspg2
dorsal longitudinal anastomotic vessel aplastic	hspg2
intersegmental vessel decreased length	hspg2
intersegmental vessel morphology	hspg2
intersegmental vessel unlumenized	hspg2
mitochondrial matrix part_of trunk musculature absent	hspg2
myofibril part_of trunk musculature misaligned with GO:0030016	hspg2
myoseptum U-shaped	hspg2
myotome morphology	hspg2
myotome shape	hspg2
myotome vacuolated	hspg2
neural crest cell differentiation occurs_in cranial neural crest disrupted	hspg2
pericardium edematous	hspg2
pharyngeal arch 1 decreased amount	hspg2
pharyngeal arch 5 decreased amount	hspg2
post-vent region curved dorsal	hspg2
post-vent region curved ventral	hspg2
post-vent region kinked	hspg2
protein localization disrupted	hspg2
sarcomere organization disrupted	hspg2
sarcomere part_of trunk musculature morphology	hspg2
skeletal muscle tissue development disrupted	hspg2
skeletal myofibril assembly disrupted	hspg2
striated muscle thin filament part_of trunk musculature decreased amount	hspg2
subintestinal vein aplastic	hspg2
trunk musculature dystrophic	hspg2
trunk musculature refractivity	hspg2
trunk kinked	hspg2
ventral mandibular arch truncated	hspg2
whole organism decreased amount	hspg2
whole organism decreased length	hspg2
whole organism increased amount	hspg2
	ndufs1
	hpdl
pectoral fin decreased amount	pax7b
	gbe1a
	idua
	cyp7b1
	prkg2
	gnao1b
	tnni2b.1
anatomical axis part_of whole organism decreased length	lrsam1
brain development disrupted	lrsam1
embryo development delayed	lrsam1
eye decreased size	lrsam1
hematopoietic stem cell differentiation disrupted	lrsam1
hematopoietic stem cell part_of ventral wall of dorsal aorta decreased amount	lrsam1
locomotory behavior arrested	lrsam1
motor neuron disorganized	lrsam1
post-vent region curved	lrsam1
somite disorganized	lrsam1
ventral wall of dorsal aorta decreased amount	lrsam1
whole organism decreased pigmentation	lrsam1
	atp5f1d
	alg2
	fam161a
lysosome part_of microglial cell decreased functionality	dock8
macrophage migration occurs_in yolk decreased process quality	dock8
macrophage migration occurs_in yolk decreased rate	dock8
microglial cell migration occurs_in midbrain decreased process quality	dock8
microglial cell migration occurs_in midbrain decreased rate	dock8
microglial cell part_of optic tectum decreased amount	dock8
NADH dehydrogenase ubiquinone activity occurs_in skeletal muscle decreased magnitude	polg
aerobic respiration decreased occurrence	polg
atrium increased size	polg
brain decreased amount	polg
cellular respiration occurs_in central nervous system decreased process quality	polg
eye decreased amount	polg
eye decreased diameter	polg
heart decreased amount	polg
hypoxia-inducible factor-1alpha signaling pathway increased occurrence	polg
liver decreased size	polg
mitochondrial DNA replication decreased occurrence	polg
mitochondrial chromosome part_of caudal fin decreased amount	polg
mitochondrial chromosome part_of central nervous system decreased amount	polg
mitochondrial chromosome part_of compound organ decreased amount	polg
mitochondrial chromosome part_of whole organism decreased amount	polg
mitochondrial crista part_of skeletal muscle morphology	polg
mitochondrion part_of skeletal muscle decreased mass	polg
mitochondrion part_of skeletal muscle fused with GO:0005739	polg
mitochondrion part_of skeletal muscle spatial pattern	polg
mitochondrion part_of skeletal muscle swollen	polg
oocyte maturation disrupted	polg
positive regulation of CREB transcription factor activity increased occurrence	polg
sperm decreased amount	polg
sperm viability	polg
testis decreased size	polg
trabecular layer decreased thickness	polg
whole organism absent	polg
whole organism decreased amount	polg
whole organism decreased length	polg
whole organism decreased life span	polg
whole organism decreased size	polg
whole organism decreased width	polg
whole organism increased amount	polg
whole organism semi-lethal (sensu genetics)	polg
zona radiata fragmented	polg
cardiac muscle cell part_of myocardium decreased amount	tamm41
heart contraction decreased rate	tamm41
heart contraction process quality	tamm41
heart increased distribution	tamm41
mitochondrion part_of cardiac muscle cell elongated	tamm41
mitochondrion part_of cardiac muscle cell increased size	tamm41
mitophagy occurs_in heart increased occurrence	tamm41
myocardium structure	tamm41
whole organism increased amount	tamm41
	sin3aa
female organism absent	fanci
female sex determination decreased occurrence	fanci
male organism increased amount	fanci
male sex determination increased occurrence	fanci
	tnxba
	reep2
atrium increased size	eef1a2
brain decreased amount	eef1a2
head decreased size	eef1a2
heart contraction decreased rate	eef1a2
heart contraction irregular rhythm	eef1a2
heart development disrupted	eef1a2
muscle decreased amount	eef1a2
pericardium edematous	eef1a2
whole organism decreased amount	eef1a2
whole organism increased curvature	eef1a2
axon part_of neuron truncated	gba2
cholesteryl beta-D-glucoside part_of whole organism decreased amount	gba2
glucosylceramide part_of whole organism increased amount	gba2
larval locomotory behavior process quality	gba2
motor neuron part_of spinal cord morphology	gba2
post-vent region kinked	gba2
post-vent region shortened	gba2
thigmotaxis decreased process quality	gba2
whole organism absent	gba2
whole organism decreased amount	gba2
muscle cell part_of myotome increased length	itga6a
muscle tendon junction part_of myotome U-shaped	itga6a
muscle tendon junction part_of myotome malformed	itga6a
myotome decreased width	itga6a
vertical myoseptum U-shaped	itga6a
vertical myoseptum malformed	itga6a
whole organism decreased length	itga6a
filamentous actin part_of slow muscle cell dispersed	tnnt2c
myofibril part_of muscle cell absent	tnnt2c
myofibril part_of slow muscle cell decreased thickness	tnnt2c
myofibril part_of slow muscle cell undulate	tnnt2c
sarcomere organization disrupted	tnnt2c
sarcomere part_of slow muscle cell absent	tnnt2c
striated muscle cell development disrupted	tnnt2c
whole organism immobile	tnnt2c
	tgm8
	slc38a8b
central nervous system myelin formation occurs_in spinal cord decreased process quality	mag
myelin sheath part_of spinal cord decreased length	mag
	slc25a12
	CU469503.1
	abhd16a
brain apoptotic	grhl2b
hindbrain apoptotic	grhl2b
midbrain hindbrain boundary absent	grhl2b
midbrain hindbrain boundary morphology	grhl2b
midbrain apoptotic	grhl2b
midbrain-hindbrain boundary morphogenesis disrupted	grhl2b
otic epithelium decreased thickness	grhl2b
otic vesicle increased size	grhl2b
otolith absent	grhl2b
otolith decreased size	grhl2b
semicircular canal formation delayed	grhl2b
semicircular canal morphology	grhl2b
sensory perception of sound arrested	grhl2b
startle response decreased occurrence	grhl2b
ventricular system development disrupted	grhl2b
ventricular system morphology	grhl2b
	ncf2
	stx11a
	vkorc1
	atp6v0a2b
	kcnv2b
	slc13a5a
apoptotic process increased occurrence	ptpn11a
ceratohyal cartilage shape	ptpn11a
convergent extension involved in gastrulation disrupted	ptpn11a
convergent extension disrupted	ptpn11a
cranial cartilage malformed	ptpn11a
cranial cartilage morphology	ptpn11a
epibranchial ganglion decreased amount	ptpn11a
eye edematous	ptpn11a
eye increased distance	ptpn11a
head decreased size	ptpn11a
head malformed	ptpn11a
heart looping disrupted	ptpn11a
heart edematous	ptpn11a
heart malformed	ptpn11a
melanocyte decreased amount	ptpn11a
melanocyte mislocalised	ptpn11a
neural crest cell migration delayed	ptpn11a
neural crest cell migration process quality	ptpn11a
neuron part_of dorsal root ganglion decreased amount	ptpn11a
neuron part_of dorsal root ganglion displaced	ptpn11a
neuron part_of enteric nervous system decreased amount	ptpn11a
neuron part_of posterior lateral line decreased amount	ptpn11a
neuron part_of sympathetic nervous system decreased amount	ptpn11a
otolith position	ptpn11a
pericardium increased size	ptpn11a
pharyngeal arch 1 displaced	ptpn11a
pharyngeal arch 1 structure	ptpn11a
pharyngeal arch 2 displaced	ptpn11a
pharyngeal arch 2 structure	ptpn11a
pharyngeal arch 3-7 aplastic	ptpn11a
post-vent region curvature	ptpn11a
swim bladder absent	ptpn11a
trigeminal ganglion decreased amount	ptpn11a
whole organism decreased length	ptpn11a
eye decreased size	rnf216
head decreased size	rnf216
optic tectum decreased size	rnf216
	atp1a1a.4
	crybb1
	aimp1b
	hmgb3a
	hoxc13a
	scn4ba
	myh7l
apoptotic process occurs_in eye photoreceptor cell increased occurrence	si:ch211-185a18.2
blood vessel morphogenesis process quality	si:ch211-185a18.2
brain vasculature hemorrhagic	si:ch211-185a18.2
cerebellar central artery branchiness	si:ch211-185a18.2
ciliary basal body part_of eye photoreceptor cell decreased amount	si:ch211-185a18.2
ciliary basal body part_of eye photoreceptor cell mislocalised	si:ch211-185a18.2
cilium assembly decreased process quality	si:ch211-185a18.2
cilium part_of neural tube absent	si:ch211-185a18.2
cilium part_of otic vesicle absent	si:ch211-185a18.2
cilium part_of pronephric tubule decreased amount	si:ch211-185a18.2
detection of light stimulus involved in visual perception decreased process quality	si:ch211-185a18.2
determination of bilateral symmetry decreased process quality	si:ch211-185a18.2
exocrine pancreas absent	si:ch211-185a18.2
exocrine pancreas bilateral symmetry	si:ch211-185a18.2
exocrine pancreas mislocalised	si:ch211-185a18.2
eye decreased distance	si:ch211-185a18.2
lens mislocalised	si:ch211-185a18.2
liver absent	si:ch211-185a18.2
liver bilateral symmetry	si:ch211-185a18.2
liver mislocalised	si:ch211-185a18.2
motile cilium part_of Kupffer's vesicle absent	si:ch211-185a18.2
motile cilium part_of Kupffer's vesicle decreased amount	si:ch211-185a18.2
motile cilium part_of pronephric duct absent	si:ch211-185a18.2
muscle pioneer decreased amount	si:ch211-185a18.2
pectoral fin development process quality	si:ch211-185a18.2
pectoral fin bilateral symmetry	si:ch211-185a18.2
perikaryon part_of eye photoreceptor cell mislocalised	si:ch211-185a18.2
photoreceptor cell outer segment organization decreased process quality	si:ch211-185a18.2
pronephric tubule increased diameter	si:ch211-185a18.2
retinal photoreceptor layer has fewer parts of type GO:0001750	si:ch211-185a18.2
skeletal muscle cell differentiation process quality	si:ch211-185a18.2
smoothened signaling pathway process quality	si:ch211-185a18.2
trunk curved ventral	si:ch211-185a18.2
	prorp
eye malformed	lratb.1
hindbrain malformed	lratb.1
notochord undulate	lratb.1
phosphatidylcholine-retinol O-acyltransferase activity disrupted	lratb.1
somite increased size	lratb.1
somite malformed	lratb.1
whole organism decreased length	lratb.1
	ppp2r3c
	gcdhb
CaP motoneuron branchiness	mfn2
